winner,turns,win_rate
Human,112,0.0
Human,33,0.0
Human,16,0.0
Human,97,0.0
Human,48,0.0
AI,36,0.16666666666666666
Human,18,0.14285714285714285
Human,39,0.125
AI,31,0.2222222222222222
Human,9,0.2
Human,14,0.18181818181818182
AI,44,0.25
Human,68,0.23076923076923078
AI,56,0.2857142857142857
AI,23,0.3333333333333333
Human,15,0.3125
Human,62,0.29411764705882354
Human,23,0.2777777777777778
Human,16,0.2631578947368421
AI,24,0.3
AI,13,0.3333333333333333
Human,33,0.3181818181818182
Human,12,0.30434782608695654
Human,69,0.2916666666666667
AI,37,0.32
AI,52,0.34615384615384615
AI,41,0.37037037037037035
AI,32,0.39285714285714285
Human,116,0.3793103448275862
Human,37,0.36666666666666664
AI,27,0.3870967741935484
Human,21,0.375
AI,25,0.3939393939393939
Human,24,0.38235294117647056
Human,36,0.37142857142857144
Human,89,0.3611111111111111
Human,18,0.35135135135135137
AI,34,0.3684210526315789
AI,27,0.38461538461538464
Human,97,0.375
AI,103,0.3902439024390244
Human,25,0.38095238095238093
Human,190,0.37209302325581395
AI,14,0.38636363636363635
Human,44,0.37777777777777777
Human,15,0.3695652173913043
AI,25,0.3829787234042553
Human,37,0.375
Human,26,0.3673469387755102
AI,48,0.38
AI,73,0.39215686274509803
AI,18,0.40384615384615385
AI,73,0.41509433962264153
AI,24,0.42592592592592593
AI,29,0.43636363636363634
AI,52,0.44642857142857145
AI,17,0.45614035087719296
Human,61,0.4482758620689655
Human,18,0.4406779661016949
AI,26,0.45
Human,26,0.4426229508196721
Human,48,0.43548387096774194
Human,26,0.42857142857142855
AI,26,0.4375
Human,68,0.4307692307692308
AI,12,0.4393939393939394
AI,25,0.44776119402985076
AI,30,0.45588235294117646
AI,13,0.463768115942029
AI,48,0.4714285714285714
AI,121,0.4788732394366197
Human,11,0.4722222222222222
AI,31,0.4794520547945205
AI,18,0.4864864864864865
AI,69,0.49333333333333335
AI,34,0.5
AI,49,0.5064935064935064
AI,40,0.5128205128205128
Human,24,0.5063291139240507
AI,16,0.5125
Human,26,0.5061728395061729
AI,28,0.5121951219512195
AI,23,0.5180722891566265
AI,40,0.5238095238095238
AI,17,0.5294117647058824
Human,45,0.5232558139534884
Human,64,0.5172413793103449
Human,35,0.5113636363636364
AI,15,0.5168539325842697
AI,50,0.5222222222222223
AI,11,0.5274725274725275
AI,24,0.532608695652174
AI,61,0.5376344086021505
Human,23,0.5319148936170213
AI,37,0.5368421052631579
Human,53,0.53125
Human,80,0.5257731958762887
Human,31,0.5204081632653061
AI,25,0.5252525252525253
AI,12,0.53
Human,90,0.5247524752475248
AI,62,0.5294117647058824
Human,30,0.5242718446601942
Human,21,0.5192307692307693
Human,28,0.5142857142857142
Human,31,0.5094339622641509
Human,50,0.5046728971962616
AI,18,0.5092592592592593
AI,27,0.5137614678899083
Human,95,0.509090909090909
Human,38,0.5045045045045045
Human,21,0.5
Human,28,0.49557522123893805
Human,41,0.49122807017543857
Human,104,0.48695652173913045
AI,38,0.49137931034482757
AI,111,0.49572649572649574
Human,19,0.4915254237288136
AI,91,0.4957983193277311
Human,27,0.49166666666666664
Human,40,0.48760330578512395
AI,24,0.4918032786885246
Human,24,0.4878048780487805
Human,41,0.4838709677419355
AI,43,0.488
AI,18,0.49206349206349204
Human,16,0.4881889763779528
AI,60,0.4921875
Human,14,0.4883720930232558
Human,15,0.4846153846153846
Human,34,0.48091603053435117
AI,146,0.48484848484848486
AI,13,0.48872180451127817
AI,68,0.4925373134328358
AI,23,0.4962962962962963
AI,12,0.5
AI,71,0.5036496350364964
Human,31,0.5
AI,27,0.5035971223021583
Human,27,0.5
Human,46,0.49645390070921985
AI,14,0.5
AI,25,0.5034965034965035
AI,22,0.5069444444444444
Human,18,0.503448275862069
AI,72,0.5068493150684932
AI,37,0.5102040816326531
Human,25,0.5067567567567568
Human,22,0.5033557046979866
AI,22,0.5066666666666667
AI,113,0.5099337748344371
Human,17,0.506578947368421
AI,17,0.5098039215686274
AI,22,0.512987012987013
Human,50,0.5096774193548387
AI,24,0.5128205128205128
Human,22,0.5095541401273885
Human,35,0.5063291139240507
AI,19,0.5094339622641509
Human,35,0.50625
Human,90,0.5031055900621118
Human,27,0.5
AI,15,0.5030674846625767
Human,35,0.5
