winner,turns,win_rate
AI,17,1.0
Human,11,0.5
AI,57,0.6666666666666666
Human,31,0.5
Human,12,0.4
AI,14,0.5
AI,39,0.5714285714285714
Human,79,0.5
Human,14,0.4444444444444444
Human,13,0.4
Human,58,0.36363636363636365
AI,20,0.4166666666666667
AI,33,0.46153846153846156
AI,70,0.5
AI,33,0.5333333333333333
AI,26,0.5625
Human,72,0.5294117647058824
Human,69,0.5
AI,23,0.5263157894736842
AI,28,0.55
Human,46,0.5238095238095238
Human,21,0.5
Human,28,0.4782608695652174
AI,14,0.5
AI,17,0.52
Human,21,0.5
Human,54,0.48148148148148145
Human,23,0.4642857142857143
Human,68,0.4482758620689655
AI,52,0.4666666666666667
AI,51,0.4838709677419355
AI,48,0.5
Human,20,0.48484848484848486
Human,57,0.47058823529411764
AI,19,0.4857142857142857
Human,15,0.4722222222222222
AI,35,0.4864864864864865
Human,13,0.47368421052631576
Human,14,0.46153846153846156
Human,17,0.45
Human,14,0.43902439024390244
Human,47,0.42857142857142855
Human,28,0.4186046511627907
Human,17,0.4090909090909091
Human,28,0.4
Human,27,0.391304347826087
AI,49,0.40425531914893614
AI,74,0.4166666666666667
AI,13,0.42857142857142855
Human,33,0.42
AI,125,0.43137254901960786
Human,39,0.4230769230769231
AI,49,0.4339622641509434
AI,12,0.4444444444444444
Human,22,0.43636363636363634
Human,83,0.42857142857142855
AI,75,0.43859649122807015
Human,25,0.43103448275862066
AI,15,0.4406779661016949
AI,40,0.45
Human,26,0.4426229508196721
Human,13,0.43548387096774194
AI,17,0.4444444444444444
AI,18,0.453125
Human,20,0.4461538461538462
Human,57,0.4393939393939394
AI,33,0.44776119402985076
AI,20,0.45588235294117646
Human,22,0.4492753623188406
Human,21,0.44285714285714284
AI,35,0.4507042253521127
Human,25,0.4444444444444444
Human,48,0.4383561643835616
AI,40,0.44594594594594594
Human,76,0.44
Human,63,0.4342105263157895
AI,31,0.44155844155844154
AI,52,0.44871794871794873
AI,7,0.45569620253164556
AI,29,0.4625
AI,41,0.4691358024691358
AI,18,0.47560975609756095
AI,81,0.4819277108433735
Human,35,0.47619047619047616
AI,17,0.4823529411764706
AI,34,0.4883720930232558
AI,155,0.4942528735632184
Human,73,0.48863636363636365
Human,48,0.48314606741573035
AI,22,0.4888888888888889
Human,34,0.4835164835164835
Human,79,0.4782608695652174
Human,21,0.4731182795698925
AI,38,0.4787234042553192
Human,54,0.47368421052631576
Human,37,0.46875
AI,29,0.4742268041237113
Human,13,0.46938775510204084
Human,16,0.46464646464646464
Human,9,0.46
Human,28,0.45544554455445546
AI,92,0.46078431372549017
Human,66,0.4563106796116505
AI,36,0.46153846153846156
AI,31,0.4666666666666667
AI,42,0.4716981132075472
Human,30,0.4672897196261682
Human,25,0.46296296296296297
AI,43,0.46788990825688076
AI,20,0.4727272727272727
Human,12,0.46846846846846846
AI,144,0.4732142857142857
AI,27,0.4778761061946903
AI,62,0.4824561403508772
AI,31,0.48695652173913045
AI,28,0.49137931034482757
Human,32,0.48717948717948717
AI,48,0.4915254237288136
AI,15,0.4957983193277311
Human,21,0.49166666666666664
Human,26,0.48760330578512395
AI,16,0.4918032786885246
AI,27,0.4959349593495935
Human,13,0.49193548387096775
Human,14,0.488
Human,41,0.48412698412698413
Human,96,0.48031496062992124
AI,60,0.484375
AI,37,0.4883720930232558
AI,36,0.49230769230769234
AI,23,0.4961832061068702
Human,21,0.49242424242424243
Human,48,0.48872180451127817
AI,12,0.4925373134328358
AI,15,0.4962962962962963
Human,37,0.49264705882352944
AI,47,0.49635036496350365
Human,43,0.4927536231884058
Human,76,0.4892086330935252
Human,45,0.4857142857142857
Human,54,0.48226950354609927
Human,33,0.4788732394366197
AI,51,0.4825174825174825
Human,15,0.4791666666666667
Human,46,0.47586206896551725
Human,29,0.4726027397260274
Human,54,0.46938775510204084
Human,45,0.46621621621621623
AI,31,0.4697986577181208
Human,27,0.4666666666666667
Human,26,0.46357615894039733
AI,94,0.46710526315789475
Human,34,0.46405228758169936
AI,20,0.4675324675324675
AI,17,0.47096774193548385
Human,97,0.46794871794871795
Human,10,0.46496815286624205
Human,71,0.4620253164556962
Human,22,0.4591194968553459
Human,19,0.45625
AI,35,0.45962732919254656
Human,27,0.4567901234567901
AI,17,0.4601226993865031
AI,30,0.4634146341463415
Human,18,0.46060606060606063
AI,30,0.463855421686747
AI,67,0.46706586826347307
Human,33,0.4642857142857143
Human,30,0.46153846153846156
AI,18,0.4647058823529412
Human,52,0.4619883040935672
AI,40,0.46511627906976744
AI,61,0.4682080924855491
AI,16,0.47126436781609193
AI,83,0.4742857142857143
AI,36,0.4772727272727273
AI,75,0.480225988700565
AI,64,0.48314606741573035
Human,72,0.48044692737430167
AI,12,0.48333333333333334
Human,52,0.48066298342541436
AI,74,0.4835164835164835
AI,37,0.48633879781420764
Human,52,0.483695652173913
Human,62,0.4810810810810811
AI,22,0.4838709677419355
Human,16,0.48128342245989303
AI,42,0.48404255319148937
Human,74,0.48148148148148145
AI,16,0.4842105263157895
AI,183,0.4869109947643979
AI,56,0.4895833333333333
AI,79,0.49222797927461137
Human,103,0.4896907216494845
Human,18,0.48717948717948717
Human,77,0.4846938775510204
AI,61,0.4873096446700508
AI,26,0.4898989898989899
AI,23,0.49246231155778897
AI,16,0.495
AI,65,0.4975124378109453
Human,59,0.49504950495049505
AI,13,0.4975369458128079
Human,25,0.4950980392156863
AI,23,0.4975609756097561
AI,62,0.5
AI,61,0.5024154589371981
Human,60,0.5
Human,26,0.49760765550239233
Human,75,0.49523809523809526
Human,34,0.4928909952606635
Human,39,0.49056603773584906
Human,26,0.48826291079812206
AI,20,0.49065420560747663
Human,22,0.4883720930232558
Human,19,0.4861111111111111
Human,114,0.4838709677419355
AI,36,0.48623853211009177
Human,38,0.4840182648401826
AI,34,0.4863636363636364
Human,34,0.4841628959276018
Human,47,0.481981981981982
Human,132,0.4798206278026906
Human,61,0.47767857142857145
Human,20,0.47555555555555556
AI,100,0.4778761061946903
AI,13,0.4801762114537445
Human,71,0.4780701754385965
Human,68,0.4759825327510917
AI,32,0.4782608695652174
AI,43,0.4805194805194805
AI,12,0.4827586206896552
Human,60,0.48068669527896996
AI,26,0.4829059829059829
Human,28,0.4808510638297872
Human,71,0.4788135593220339
Human,30,0.4767932489451477
Human,35,0.47478991596638653
AI,41,0.4769874476987448
Human,23,0.475
AI,47,0.47717842323651455
AI,52,0.4793388429752066
Human,32,0.4773662551440329
Human,25,0.47540983606557374
AI,49,0.4775510204081633
AI,14,0.4796747967479675
AI,25,0.4817813765182186
Human,29,0.4798387096774194
AI,71,0.4819277108433735
Human,9,0.48
Human,36,0.47808764940239046
AI,96,0.4801587301587302
AI,21,0.48221343873517786
AI,20,0.484251968503937
Human,24,0.4823529411764706
Human,13,0.48046875
AI,15,0.48249027237354086
AI,34,0.4844961240310077
Human,56,0.4826254826254826
Human,21,0.4807692307692308
Human,28,0.4789272030651341
Human,21,0.4770992366412214
Human,30,0.4752851711026616
AI,24,0.4772727272727273
Human,26,0.47547169811320755
Human,23,0.47368421052631576
Human,12,0.47191011235955055
AI,52,0.47388059701492535
AI,43,0.4758364312267658
AI,22,0.4777777777777778
AI,15,0.4797047970479705
Human,61,0.47794117647058826
Human,18,0.47619047619047616
AI,16,0.4781021897810219
Human,22,0.4763636363636364
Human,17,0.4746376811594203
